"id","listingType","featureGroups","numberOfRooms","price","debtFreePrice","livingArea","totalArea","pricePMsq","city","region","district","postalCode","floor","buildingAge","centrum","hasSauna","hasBalcony","hasParking","hasWalkInCloset","hasStorage","link"
"511054","Rivitalo","apartment",3,145000,145000,73.5,73.5,1972.78911564626,"Seinäjoki","Seinäjoki","Jouppi","60320",1,17,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/511054'>https://op-koti.fi/kohde/511054</a>"
"524352","Omakotitalo","apartment",4,94000,94000,116.5,154,610.38961038961,"Ulvila","Ulvila","Friitala","28400",0,54,0,1,0,0,1,0,"<a href='https://op-koti.fi/kohde/524352'>https://op-koti.fi/kohde/524352</a>"
"524517","Kerrostalo","apartment",2,65900,65900,54,54,1220.37037037037,"Nivala","Nivala","Keskusta","85500",2,24,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524517'>https://op-koti.fi/kohde/524517</a>"
"522464","Kerrostalo","apartment",4,70298.41,73000,86.5,86.5,843.93063583815,"Lahti","Lahti","Metsämaa","15230",4,51,0,1,1,0,1,0,"<a href='https://op-koti.fi/kohde/522464'>https://op-koti.fi/kohde/522464</a>"
"520978","Kerrostalo","apartment",3,128500,128500,74,74,1736.48648648649,"Turku","Turku","Runosmäki","20360",2,48,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/520978'>https://op-koti.fi/kohde/520978</a>"
"517750","Omakotitalo","apartment",5,240000,240000,95,122,1967.2131147541,"Tampere","Länsi","Lentävänniemi","33410",0,43,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/517750'>https://op-koti.fi/kohde/517750</a>"
"524703","Kerrostalo","apartment",2,143000,143000,55,55,2600,"Jyväskylä","Jyväskylä","Mäki-Matti","40700",2,36,0,0,1,0,0,0,"<a href='https://op-koti.fi/kohde/524703'>https://op-koti.fi/kohde/524703</a>"
"524313","Kerrostalo","apartment",2,176500,176500,50,50,3530,"Seinäjoki","Seinäjoki","Marttila","60100",2,6,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524313'>https://op-koti.fi/kohde/524313</a>"
"524762","Paritalo","apartment",5,325000,325000,80,160,2031.25,"Vantaa","Itä-Vantaa","Itä-Hakkila","01260",1,33,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524762'>https://op-koti.fi/kohde/524762</a>"
"510197","Omakotitalo","apartment",4,45000,45000,100,155,290.322580645161,"Hamina","Hamina","Pampyöli","49400",0,73,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/510197'>https://op-koti.fi/kohde/510197</a>"
