id,listingType,floor,numberOfRooms,price,debtFreePrice,city,region,district,postalCode,livingArea,totalArea,buildingAge,centrum,hasSauna,hasBalcony,hasParking,hasWalkInCloset,hasStorageRoom
507920,Kerrostalo,2,3,66777.1,89500.0,Savonlinna,Savonlinna,Kyrönniemi,57200,74.0,74.0,51.0,0,0,0,0,0,0
508049,Kerrostalo,3,2,55000.0,55000.0,Iisalmi,Iisalmi,keskusta,74100,57.0,57.0,53.0,1,0,0,0,0,0
508511,Rivitalo,1,3,129000.0,129000.0,Siilinjärvi,Siilinjärvi,Panninniemi,71800,76.5,76.5,24.0,0,1,0,0,0,0
508819,Kerrostalo,2,3,47600.41,52000.0,Valkeakoski,Valkeakoski,Eerola,37630,74.0,74.0,43.0,0,0,1,0,0,0
508182,Omakotitalo,0,6,485000.0,485000.0,Sipoo,Sipoo,Hindsby,04130,184.0,199.0,20.0,0,1,0,0,1,0
509137,Rivitalo,1,3,233000.0,233000.0,Vantaa,Länsi-Vantaa,Vantaanlaakso,01670,77.5,77.5,43.0,0,1,0,0,0,0
508951,Omakotitalo,0,5,245000.0,245000.0,Kajaani,Kajaani,Hetteenmäki,87200,185.0,248.0,36.0,0,1,0,0,0,1
508268,Erillistalo,1,5,1095000.0,1095000.0,Helsinki,Itä-Helsinki,Jollas,00850,279.0,279.0,18.0,0,0,0,0,0,0
508741,Kerrostalo,0,3,40580.43,45000.0,Salo,Salo,Halikko,25250,78.0,78.0,54.0,0,0,0,0,0,0
508607,Rivitalo,1,2,189000.0,189000.0,Porvoo,Porvoo,Peippola,06400,58.0,58.0,17.0,0,1,0,0,0,0
506620,Omakotitalo,0,4,429000.0,429000.0,Jyväskylä,Jyväskylä,Jyskä,40420,161.0,239.0,20.0,0,1,1,1,0,0
508587,Rivitalo,1,4,135000.0,135000.0,Kajaani,Kajaani,Lohtaja,87700,86.0,86.0,37.0,0,1,0,0,0,0
508161,Omakotitalo,0,3,75000.0,75000.0,Ilmajoki,Ilmajoki,Pojanluoma,60760,95.0,145.0,68.0,0,0,0,0,0,0
506830,Paritalo,1,4,130000.0,130000.0,Järvenpää,Järvenpää,Ristinummi,04420,88.0,101.0,39.0,0,1,0,0,0,0
699218,Rivitalo,1,3,89000.0,89000.0,Keminmaa,Keminmaa,Lassila,94450,75.5,75.5,31.0,0,1,0,0,0,0
509060,Kerrostalo,2,2,79000.0,79000.0,Haapavesi,Haapavesi,Keskusta,86600,76.0,76.0,34.0,0,1,0,0,0,0
509042,Kerrostalo,4,4,99639.78,289000.0,Helsinki,Itä-Helsinki,Vartiokylä,00950,73.5,75.5,2.0,0,0,0,0,0,0
508185,Kerrostalo,4,3,97000.0,97000.0,Jyväskylä,Jyväskylä,Kuokkala,40520,64.0,64.0,31.0,0,1,1,0,0,0
507980,Kerrostalo,6,3,97554.68,99000.0,Heinola,Heinola,Keskusta,18100,69.5,69.5,60.0,1,0,1,0,0,0
506652,Omakotitalo,0,5,248000.0,248000.0,Siilinjärvi,Siilinjärvi,Kasurila,71800,150.0,173.0,60.0,0,1,0,0,1,0
698148,Kerrostalo,2,3,18000.0,18000.0,Jämsä,Jämsä,Jämsänkoski Puistola,42300,76.0,76.0,45.0,0,0,1,0,0,0
505718,Kerrostalo,3,2,275000.0,275000.0,Helsinki,Pohjois-Helsinki,Latokartano,00790,59.5,59.5,19.0,0,1,1,0,0,0
508917,Paritalo,0,4,175000.0,175000.0,Kontiolahti,Kontiolahti,Kontioniemi,80780,108.0,111.5,12.0,0,1,0,0,0,0
509017,Omakotitalo,0,3,109000.0,109000.0,Kouvola,Kouvola,Röykynmäki (Valkeala),45370,103.0,181.0,32.0,0,1,0,1,1,1
508434,Paritalo,1,5,229000.0,229000.0,Tuusula,Tuusula,Riihikallio,04320,117.0,124.5,43.0,0,1,0,0,0,0
508186,Kerrostalo,2,2,54612.38,59000.0,Kuopio,Kuopio,Levänen,70780,53.5,53.5,42.0,0,0,0,0,0,0
507117,Kerrostalo,4,1,99903.43,228000.0,Helsinki,Pohjois-Helsinki,Viikki,00790,31.5,31.5,4.0,0,0,0,0,0,0
509091,Rivitalo,0,2,95000.0,95000.0,Orivesi,Orivesi,Oriahde,35300,54.0,54.0,16.0,0,1,0,0,0,0
503914,Kerrostalo,6,4,131331.77,136000.0,Vantaa,Itä-Vantaa,Hakunila,01200,95.5,95.5,45.0,0,0,0,0,0,0
506214,Kerrostalo,3,2,209275.39,210000.0,Vantaa,Itä-Vantaa,Tikkurila,01300,60.0,60.0,44.0,0,0,0,0,0,0
509126,Rivitalo,0,2,42000.0,42000.0,Ruovesi,Ruovesi,Keskusta,34600,60.0,60.0,41.0,0,1,0,0,0,0
509109,Kerrostalo,3,3,47000.0,47000.0,Eura,Eura,Kirkonkylä,27510,75.5,75.5,49.0,0,0,0,0,0,0
509019,Omakotitalo,0,3,35000.0,35000.0,Heinola,Heinola,Tommola,18130,47.0,56.0,82.0,0,0,0,0,0,0
508567,Kerrostalo,1,3,125000.0,125000.0,Salo,Salo,Alhaisi,24130,75.0,75.0,52.0,0,0,0,0,1,0
508158,Rivitalo,1,3,125000.0,125000.0,Kontiolahti,Kontiolahti,Kirkonkylä,81100,75.0,75.0,12.0,1,1,0,0,0,0
509099,Rivitalo,0,2,60000.0,60000.0,Raahe,Raahe,Isoholmi,92130,59.0,59.0,32.0,0,1,0,0,0,0
508604,Kerrostalo,1,1,32000.0,32000.0,Virrat,Virrat,Keskusta,34800,33.0,33.0,36.0,0,1,1,0,0,0
